"number","name","cmt","desc","symbol","url","Latitude","Longitude"
,"Kärnänkoski",,"Souvorov“s fortress","museum_openair","https://photos.google.com/share/AF1QipMBwRB5UnurPg5I0t-_BVvMbqoqhqn2dCCUfBRF8ojCo0PYwD3RUObTxhN4biKqOA/photo/AF1QipOqBVAUJHn2YRgPvWLTeu8CwSbsotGx6UzRiPZS?key=aXhxNEZBSWRjOE9sNHN3RUdmaUVjUFJfeTc5UE1n","61.262788","27.709954"
5376,"Karvio","Fuel, Septic, Grocery,",,"marina",,"62.512834","28.640252"
,"Kasinlinna",,,"naturharbor",,"62.285442","29.493022"
,"Kaukas",,,"port",,"61.071958","28.229988"
5388,"Kemanranta","Grocery, Hospital Septic, Sauna, Alco, Hotel,",,"marina",,"62.438542","28.637612"
4257,"Kenkävero",,,"pier",,"61.680106","27.285442"
4644,"Kerimäki, Kirkkoranta","Fuel by carrying, Septic,",,"marina",,"61.908229","29.286531"
5408,"Kermankoski","Fuel, Septic, Restaurant, Sauna,",,"marina",,"62.393035","28.748248"
5411,"Kermanvirta ","Waste disposal,  Outhouse toilet,  Barbecue shelter,  Landing stage, Sauna, ",,"naturharbor",,"62.396667","28.728333"
,"Kesämaa",,,"pier",,"61.800877","29.295243"
,"Keskisaari",,,"beach",,"63.168549","27.264944"
4914,"Kielosaari ","Waste disposal,  Outhouse toilet,  Campfire site","(PSS)","naturharbor",,"62.825000","27.651667"
4438,"Kiertävälä Varvinranta","Sauna,",,"marina",,"61.611632","28.376713"
5068,"Kihlovirta ","Waste disposal,  Outhouse toilet,  Campfire site,",,"naturharbor",,"63.570000","27.020000"
5240,"Kipansalo ","Outhouse toilet,  Campfire site,  Landing stage,  Sauna, Shelter, Buoys","wilderness hut ","naturharbor",,"62.851667","28.205000"
5437,"Kirkkoranta ","Outhouse toilet,  Campfire site,  Info, Inva","National park , mv-Kielto","naturharbor",,"62.236667","28.891667"
4777,"Kirvessaari","Outhouse toilet,  Campfire site","National park , 2 aluetta","naturharbor",,"62.156897","28.398784"
,"Kiviniemi",,,"pier",,"61.490496","28.034787"
4370,"Kivisalmi","Waste disposal,  Outhouse toilet, Slip","Shop,  2 Km","pier","https://drive.google.com/open?id=1iLeycmocmJD2SDYXE3auYH4YkrNC081ejg","61.490385","27.888917"
,"Kivisalmi, Rääkkylä",,,"pier",,"62.314926","29.512763"
5297,"Kohmansalo ","Waste disposal,  Outhouse toilet,  Barbecue shelter, Landing stage, ",,"naturharbor",,"62.581667","28.443333"
4505,"Koivukannanniemi","Waste disposal,  Outhouse toilet,  Barbecue shelter, Campfire site, Landing stage, Septi, Inva ","(PSS)","guestharbor","https://drive.google.com/open?id=1X5WamtZYapGU_jiqgqGp95kN2Hc6K57Diw","61.820373","28.731078"
5142,"Koivulahti",,,"pier",,"63.059141","28.340660"
4914,"Koivumäki","Cafe, Restaurant, ",,"pier",,"62.812110","27.623706"
5560,"Koivuniemi",,,"pier",,"62.313281","29.580634"
5317,"Kojanlahti","Waste disposal, Outhouse toilet, Campfire site, Landing stage,",,"naturharbor",,"62.677966","28.591886"
4500,"Kokonsaari","Waste disposal,  Outhouse toilet, Landing stage,  ","(PSS) ","pier","https://drive.google.com/open?id=1LNvNQyPRlbO4pDdIPSC6RrFSH_dGfbzMkA","61.775855","28.756494"
,"Kolhoniemi",,"Privat piers","naturharbor","https://photos.google.com/share/AF1QipMBwRB5UnurPg5I0t-_BVvMbqoqhqn2dCCUfBRF8ojCo0PYwD3RUObTxhN4biKqOA/photo/AF1QipNSlcKYx_w6s7ZAdaAF4lMw8l83bMegtMLp-2Wm?key=aXhxNEZBSWRjOE9sNHN3RUdmaUVjUFJfeTc5UE1n","61.288111","27.665221"
5752,"Koli","Information, Hotel, Grocery, Alco, Septic","National park ","marina",,"63.111878","29.808721"
4562,"Kongonpää","Outhouse toilet,  Landing stage,  Buoys","(Metsähallitus) Salpalinja- info","war","https://drive.google.com/open?id=1xV68v8BtprY88h2OsYLBp7WmJrhDcHiw0w","61.658099","29.085044"
4572,"Kongonsaari, Koukkuniemi","Waste disposal,  Outhouse toilet,  Campfire site,  ","(PSS)","beach","https://drive.google.com/open?id=1iP7bMxZqEGK38t7AozBESpHslD4Oom5FuA","61.703333","29.046667"
4552,"Kongonsaari, Pääskyniemi ","Outhouse toilet,  Campfire site,   ","(Metsähallitus)","naturharbor","https://drive.google.com/open?id=1Vo0pSL5TUY12krXK0efzyg3r-RmNbNSaQw ","61.714296","28.964848"
,"Kongonsaari, Pakarhiekka",,,"beach","https://drive.google.com/open?id=1kAo1JOqfr5juxycWuUYGB4CGVl3r2g9spw","61.714558","28.974616"
4855,"Konnus","Waste disposal,  Outhouse toilet,  Barbecue shelter,  Landing stage","(PSS), vanhat kanavat, kioski","guestharbor","https://drive.google.com/open?id=1BNVgbM65GwvPnvxBs4eKk81jFErF0lrS2Q","62.549111","27.773164"
,"Korkeankoskenjoki",,"waterfall","waterfall",,"63.239590","27.078584"
4290,"Korvensaari","Waste disposal,  Outhouse toilet,  Barbecue shelter, Landing stage,  Buoys, Sauna","(PSS)","naturharbor",,"61.610000","27.750000"
4292,"Korvensaari, Pieni-Puoli","Waste disposal,  Outhouse toilet,  Barbecue shelter,  Landing stage,  Shelter, ","(PSS)","naturharbor",,"61.627834","27.756212"
4390,"Kotkatsaari","Waste disposal,  Outhouse toilet,  Campfire site,  Landing stage,   ","(PSS)","guestharbor","https://drive.google.com/open?id=1y3NZeJeNPnlPLQBokkikn4MkqsCGSeGM8A","61.491225","28.161666"
5033,"Koukunjoki ","Waste disposal,  Outhouse toilet,  Campfire site,  Buoys,",,"naturharbor",,"63.571667","27.320000"
4411,"Kukonharju","Waste disposal,  Outhouse toilet","Suvorovin kanavareitin varrella","naturharbor",,"61.495675","28.525850"
4899,"Kumpusaari ","Waste disposal,  Campfire site","(PSS)  day use only","naturharbor",,"63.538333","27.166667"
4830,"Kuntoranta",,,"resort",,"62.345699","27.888837"
,"Kuopio, Hotelinranta",,,"pier",,"62.887895","27.696630"
,"Kuopio, matkustajasatama",,,"pier",,"62.890848","27.695299"
,"Kuopionlahti",,,"marina",,"62.885861","27.683884"
